,COLUMN_NAME,COLUMN_COMMENT
0,R_SecuCode,证券代码
1,CompanyCode,公司代码
2,Comcd,上市公司代码
3,Stkcd,股票代码
4,Listedstate,上市状态
5,Csrciccd1,证监会行业门类代码
6,Csrciccd2,证监会行业大类代码
7,Date,日期
8,PrevClPr,前收盘价
9,Oppr,开盘价
10,Hipr,最高价
11,Lopr,最低价
12,Clpr,收盘价
13,AdjClpr1,复权价1(元)
14,AdjClpr2,复权价2(元)
15,Trdvol,成交量
16,Trdsum,成交金额
17,Dampltd,日振幅(%)
18,DFulTurnR,总股数日换手率(%)
19,DTrdTurnR,流通股日换手率(%)
20,Capchgdt,股数变动日
21,Comstateshr,公司国有股
22,Comlpshr,公司法人股
23,Fullshr,总股数
24,Trdshr,流通股
25,Lsttrdshr,已上市流通股
26,Dret,日收益率
27,Daret,日资本收益率
28,PE,市盈率
29,PB,市净率
30,PCF,市现率
31,PS,市销率
32,EPS,每股收益(摊薄)(元/股)
33,ROE,净资产收益率(摊薄)
34,AccumFundPS,每股公积金(元/股)
35,OpPrfPS,每股营业利润(元/股)
36,NAPS,每股净资产(元/股)
37,NAPSadj,调整后每股净资产(元/股)
38,IncomePS,每股营业收入
39,NCFfropePS,每股经营活动现金流量净额(元/股)
